,ID,Woonplaatsen,Woonplaatscode_1,Woonplaats,Code_3,Provincie,Code_5,Deel,Code_7,Latitude,Longtitude,Population
0,0,WP1925,WP1925    ,Almelo                             ,GM0141    ,Overijssel               ,PV23      ,Oost-Nederland           ,LD02      ,52.366666666,6.666666666,72459
1,1,WP2774,WP2774    ,Veere                              ,GM0717    ,Zeeland                  ,PV29      ,West-Nederland           ,LD03      ,51.5469,3.5403,21865
2,2,WP2145,WP2145    ,Coevorden                          ,GM0109    ,Drenthe                  ,PV22      ,Noord-Nederland          ,LD01      ,52.666666666,6.75,35483
3,3,WP2571,WP2571    ,Aalsmeer                           ,GM0358    ,Noord-Holland            ,PV27      ,West-Nederland           ,LD03      ,52.263888888,4.7625,31728
4,4,WP1600,WP1600    ,Haarlemmermeer                     ,GM0394    ,Noord-Holland            ,PV27      ,West-Nederland           ,LD03      ,52.3008,4.6653,154235
5,5,WP2626,WP2626    ,Zaltbommel                         ,GM0297    ,Gelderland               ,PV25      ,Oost-Nederland           ,LD02      ,51.8167,5.25,27549
6,6,WP3387,WP3387    ,Noardeast-Fryslân                  ,GM1970    ,Friesland                ,PV21      ,Noord-Nederland          ,LD01      ,53.334722222,6.047222222,45181
7,7,WP1193,WP1193    ,Aalten                             ,GM0197    ,Gelderland               ,PV25      ,Oost-Nederland           ,LD02      ,51.925,6.5808,27011
8,8,WP2673,WP2673    ,Nieuwkoop                          ,GM0569    ,Zuid-Holland             ,PV28      ,West-Nederland           ,LD03      ,52.15,4.766666666,28628
9,9,WP2394,WP2394    ,Assen                              ,GM0106    ,Drenthe                  ,PV22      ,Noord-Nederland          ,LD01      ,53.0,6.55,67580
10,10,WP2961,WP2961    ,Sluis                              ,GM1714    ,Zeeland                  ,PV29      ,West-Nederland           ,LD03      ,51.35,3.5,23386
11,11,WP1079,WP1079    ,Alphen aan den Rijn                ,GM0484    ,Zuid-Holland             ,PV28      ,West-Nederland           ,LD03      ,52.133333333,4.65,110986
12,12,WP1445,WP1445    ,Laarbeek                           ,GM1659    ,Noord-Brabant            ,PV30      ,Zuid-Nederland           ,LD04      ,51.5161,5.6208,22333
13,13,WP2788,WP2788    ,Opmeer                             ,GM0432    ,Noord-Holland            ,PV27      ,West-Nederland           ,LD03      ,52.7033,4.9444,11779
14,14,WP2400,WP2400    ,Súdwest-Fryslân                    ,GM1900    ,Friesland                ,PV21      ,Noord-Nederland          ,LD01      ,53.0,5.5444,89710
15,15,WP3147,WP3147    ,Medemblik                          ,GM0420    ,Noord-Holland            ,PV27      ,West-Nederland           ,LD03      ,52.7439,5.0614,44809
16,16,WP1385,WP1385    ,Nissewaard                         ,GM1930    ,Zuid-Holland             ,PV28      ,West-Nederland           ,LD03      ,No info,No info,No info
17,17,WP1608,WP1608    ,Haarlemmermeer                     ,GM0394    ,Noord-Holland            ,PV27      ,West-Nederland           ,LD03      ,No info,No info,No info
18,18,WP1332,WP1332    ,De Ronde Venen                     ,GM0736    ,Utrecht                  ,PV26      ,West-Nederland           ,LD03      ,No info,No info,No info
19,19,WP1364,WP1364    ,Waadhoeke                          ,GM1949    ,Friesland                ,PV21      ,Noord-Nederland          ,LD01      ,53.1875,5.54,No info
20,20,WP1063,WP1063    ,Barneveld                          ,GM0203    ,Gelderland               ,PV25      ,Oost-Nederland           ,LD02      ,No info,No info,No info
21,21,WP2640,WP2640    ,Leusden                            ,GM0327    ,Utrecht                  ,PV26      ,West-Nederland           ,LD03      ,No info,No info,No info
22,22,WP2131,WP2131    ,Goeree-Overflakkee                 ,GM1924    ,Zuid-Holland             ,PV28      ,West-Nederland           ,LD03      ,No info,No info,No info
23,23,WP3493,WP3493    ,Zundert                            ,GM0879    ,Noord-Brabant            ,PV30      ,Zuid-Nederland           ,LD04      ,No info,No info,No info
24,24,WP3527,WP3527    ,West Betuwe                        ,GM1960    ,Gelderland               ,PV25      ,Oost-Nederland           ,LD02      ,51.883333333,5.283333333,50697
25,25,WP2464,WP2464    ,Het Hogeland                       ,GM1966    ,Groningen                ,PV20      ,Noord-Nederland          ,LD01      ,No info,No info,No info
26,26,WP2114,WP2114    ,Westerkwartier                     ,GM1969    ,Groningen                ,PV20      ,Noord-Nederland          ,LD01      ,No info,No info,No info
27,27,WP2652,WP2652    ,Bloemendaal                        ,GM0377    ,Noord-Holland            ,PV27      ,West-Nederland           ,LD03      ,No info,No info,No info
28,28,WP2976,WP2976    ,Zevenaar                           ,GM0299    ,Gelderland               ,PV25      ,Oost-Nederland           ,LD02      ,51.916666666,6.083333333,No info
29,29,WP2902,WP2902    ,Druten                             ,GM0225    ,Gelderland               ,PV25      ,Oost-Nederland           ,LD02      ,No info,No info,No info
30,30,WP1122,WP1122    ,Bergen (L.)                        ,GM0893    ,Limburg                  ,PV31      ,Zuid-Nederland           ,LD04      ,No info,No info,No info
31,31,WP1407,WP1407    ,Dinkelland                         ,GM1774    ,Overijssel               ,PV23      ,Oost-Nederland           ,LD02      ,52.3667,7.0,No info
32,32,WP2267,WP2267    ,Castricum                          ,GM0383    ,Noord-Holland            ,PV27      ,West-Nederland           ,LD03      ,No info,No info,No info
