"Woonplaatsen";"Gemeente/Naam  (Naam)";"Provincie/Naam (Naam)";"Landsdeel/Naam (Naam)"
"Aadorp";"Almelo                             ";"Overijssel               ";"Oost-Nederland           "
"Aagtekerke";"Veere                              ";"Zeeland                  ";"West-Nederland           "
"Aalden";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Aalsmeer";"Aalsmeer                           ";"Noord-Holland            ";"West-Nederland           "
"Aalsmeerderbrug";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Aalst";"Zaltbommel                         ";"Gelderland               ";"Oost-Nederland           "
"Aalsum";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Aalten";"Aalten                             ";"Gelderland               ";"Oost-Nederland           "
"Ter Aar";"Nieuwkoop                          ";"Zuid-Holland             ";"West-Nederland           "
"Ter Aard";"Assen                              ";"Drenthe                  ";"Noord-Nederland          "
"Aardenburg";"Sluis                              ";"Zeeland                  ";"West-Nederland           "
"Aarlanderveen";"Alphen aan den Rijn                ";"Zuid-Holland             ";"West-Nederland           "
"Aarle-Rixtel";"Laarbeek                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Aartswoud";"Opmeer                             ";"Noord-Holland            ";"West-Nederland           "
"Abbega";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Abbekerk";"Medemblik                          ";"Noord-Holland            ";"West-Nederland           "
"Abbenbroek";"Nissewaard                         ";"Zuid-Holland             ";"West-Nederland           "
"Abbenes";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Abcoude";"De Ronde Venen                     ";"Utrecht                  ";"West-Nederland           "
"Achlum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Achterveld";"Barneveld                          ";"Gelderland               ";"Oost-Nederland           "
"Achterveld";"Leusden                            ";"Utrecht                  ";"West-Nederland           "
"Achthuizen";"Goeree-Overflakkee                 ";"Zuid-Holland             ";"West-Nederland           "
"Achtmaal";"Zundert                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Acquoy";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Adorp";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Aduard";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Aerdenhout";"Bloemendaal                        ";"Noord-Holland            ";"West-Nederland           "
"Aerdt";"Zevenaar                           ";"Gelderland               ";"Oost-Nederland           "
"Afferden";"Druten                             ";"Gelderland               ";"Oost-Nederland           "
"Afferden L";"Bergen (L.)                        ";"Limburg                  ";"Zuid-Nederland           "
"Agelo";"Dinkelland                         ";"Overijssel               ";"Oost-Nederland           "
"Akersloot";"Castricum                          ";"Noord-Holland            ";"West-Nederland           "
"Akkrum";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Akmarijp";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Albergen";"Tubbergen                          ";"Overijssel               ";"Oost-Nederland           "
