,Unnamed: 0,Woonplaatsen,Provincie,Landsdeel,Gemeente,Lattitude,Longitude,Population,Coordinates
10,12,Assen,Drenthe,Noord-Nederland          ,Assen                              ,52.98333333333333,6.55,68798,"52° 59′ NB, 6° 33′ OL"
15,17,Beilen,Drenthe,Noord-Nederland          ,Midden-Drenthe                     ,52.85,6.5166666666666675,11235,"52° 51′ NB, 6° 31′ OL"
26,29,Coevorden,Drenthe,Noord-Nederland          ,Coevorden                          ,52.65,6.7333333333333325,35303,"52° 39′ NB, 6° 44′ OL"
61,64,Emmen,Drenthe,Noord-Nederland          ,Emmen                              ,52.78333333333333,6.9,56545,"52° 47′ NB, 6° 54′ OL"
94,98,Hoogeveen,Drenthe,Noord-Nederland          ,Hoogeveen                          ,52.71666666666667,6.466666666666668,40190,"52° 43′ NB, 6° 28′ OL"
99,103,Klazienaveen,Drenthe,Noord-Nederland          ,Emmen                              ,52.73333333333333,6.9833333333333325,12115,"52° 44′ NB, 6° 59′ OL"
111,115,Meppel,Drenthe,Noord-Nederland          ,Meppel                             ,52.7,6.183333333333334,34125,"52° 42′ NB, 6° 11′ OL"
147,155,Roden,Drenthe,Noord-Nederland          ,Noordenveld                        ,53.13333333333333,6.433333333333334,14650,"53° 8′ NB, 6° 26′ OL"
206,219,Zuidlaren,Drenthe,Noord-Nederland          ,Tynaarlo                           ,53.1,6.683333333333334,10270,"53° 6′ NB, 6° 41′ OL"
214,227,Almere,Flevoland,Oost-Nederland           ,Almere                             ,52.36666666666667,5.216666666666667,213660,"52° 22′ NB, 5° 13′ OL"
218,231,Dronten,Flevoland,Oost-Nederland           ,Dronten                            ,52.51666666666666,5.716666666666668,41667,"52° 31′ NB, 5° 43′ OL"
219,232,Emmeloord,Flevoland,Oost-Nederland           ,Noordoostpolder                    ,52.71666666666667,5.75,26055,"52° 43′ NB, 5° 45′ OL"
223,236,Lelystad,Flevoland,Oost-Nederland           ,Lelystad                           ,52.5,5.466666666666668,79284,"52° 30′ NB, 5° 28′ OL"
230,244,Urk,Flevoland,Oost-Nederland           ,Urk                                ,52.65,5.6,21135,"52° 39′ NB, 5° 36′ OL"
231,245,Zeewolde,Flevoland,Oost-Nederland           ,Zeewolde                           ,52.33333333333334,5.533333333333332,22680,"52° 20′ NB, 5° 32′ OL"
269,283,Bolsward,Friesland,Noord-Nederland          ,Súdwest-Fryslân                    ,53.06666666666667,5.516666666666668,10085,"['53° 4′ NB, 5° 31′ OL']"
293,307,Dokkum,Friesland,Noord-Nederland          ,Noardeast-Fryslân                  ,53.33333333333334,6.0,12600,"53° 20′ NB, 5° 60′ OL"
297,311,Drachten,Friesland,Noord-Nederland          ,Smallingerland                     ,53.11666666666667,6.083333333333332,45170,"['53° 7′ NB, 6° 5′ OL']"
327,342,Franeker,Friesland,Noord-Nederland          ,Waadhoeke                          ,53.18333333333333,5.533333333333332,12775,"['53° 11′ NB, 5° 32′ OL']"
351,366,Harlingen,Friesland,Noord-Nederland          ,Harlingen                          ,53.16666666666666,5.433333333333334,14755,"['53° 10′ NB, 5° 26′ OL']"
359,374,Heerenveen,Friesland,Noord-Nederland          ,Heerenveen                         ,52.95,5.933333333333334,29170,"['52° 57′ NB, 5° 56′ OL']"
402,417,Joure,Friesland,Noord-Nederland          ,De Fryske Marren                   ,52.96666666666667,5.8,13070,"['52° 58′ NB, 5° 48′ OL']"
428,443,Leeuwarden,Friesland,Noord-Nederland          ,Leeuwarden                         ,53.2,5.783333333333332,92760,"['53° 12′ NB, 05° 47′ OL']"
431,446,Lemmer,Friesland,Noord-Nederland          ,De Fryske Marren                   ,52.85,5.716666666666668,10375,"['52° 51′ NB, 5° 43′ OL']"
563,578,Sneek,Friesland,Noord-Nederland          ,Súdwest-Fryslân                    ,53.03333333333333,5.666666666666668,33285,"['53° 2′ NB, 5° 40′ OL']"
637,652,Wolvega,Friesland,Noord-Nederland          ,Weststellingwerf                   ,52.88333333333333,6.0,12950,"['52° 53′ NB, 6° 0′ OL']"
651,666,Aalten,Gelderland,Oost-Nederland           ,Aalten                             ,51.93333333333333,6.583333333333332,17265,"['51° 56′ NB, 6° 35′ OL']"
664,679,Apeldoorn,Gelderland,Oost-Nederland           ,Apeldoorn                          ,52.21666666666667,5.966666666666668,137085,"['52° 13′ NB, 5° 58′ OL']"
666,681,Arnhem,Gelderland,Oost-Nederland           ,Arnhem                             ,51.98333333333333,5.916666666666668,161961,"['51° 59′ NB, 5° 55′ OL']"
674,689,Barneveld,Gelderland,Oost-Nederland           ,Barneveld                          ,52.13333333333333,5.583333333333332,34300,"['52° 8′ NB, 5° 35′ OL']"
682,697,Bemmel,Gelderland,Oost-Nederland           ,Lingewaard                         ,51.88333333333333,5.883333333333333,12290,"['51° 53′ NB, 5° 53′ OL']"
684,699,Bennekom,Gelderland,Oost-Nederland           ,Ede                                ,52.0,5.683333333333334,15080,"['51° 60′ NB, 5° 41′ OL']"
