;Woonplaatsen;Provincie;Landsdeel;Gemeente;Lattitude;Longitude;Population;Coordinates;L1;l2;L3;Lat;L1.1;L1.2;L.1.3;Long;
2;Aalden;Drenthe;Noord-Nederland          ;Coevorden                          ;52.78333333333333;6.716666666666667;2.040;['52° 47′ NB, 6° 43′ OL'];52;47;;52,7833333333333;6;43;;6,71666666666667;
9;Ter Aard;Drenthe;Noord-Nederland          ;Assen                              ;;;105;53° 2′ NB, 6° 33′ OL;53;2;;53,0333333333333;6;33;;6,55;
50;Alteveer;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;Not;;;;;0;;;;0;
52;Alteveer;Drenthe;Noord-Nederland          ;De Wolden                          ;;;810;52° 40′ NB, 6° 29′ OL;52;40;;52,6666666666667;6;29;;6,48333333333333;
53;Alteveer gem Hoogeveen;Drenthe;Noord-Nederland          ;Hoogeveen                          ;;;160;52° 41′ NB, 6° 30′ OL;52;42;;52,7;6;30;;6,5;
57;Amen;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;100;52° 57′ NB, 6° 37′ OL;52;57;;52,95;6;37;;6,61666666666667;
71;Anderen;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;255;53° 0′ NB, 6° 41′ OL;53;;;53;6;41;;6,68333333333333;
80;Anloo;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;465;53° 3′ NB, 6° 42′ OL;53;3;;53,05;6;42;;6,7;
82;Annen;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;3596;53° 4′ NB, 6° 43′ OL;53;4;;53,0666666666667;6;43;;6,71666666666667;
83;Annerveenschekanaal;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;390;53° 5′ NB, 6° 48′ OL;53;5;;53,0833333333333;6;48;;6,8;
84;Ansen;Drenthe;Noord-Nederland          ;Westerveld                         ;;;Not;;;;;0;;;;0;
85;Ansen;Drenthe;Noord-Nederland          ;De Wolden                          ;;;345;52° 47′ NB, 6° 20′ OL;52;47;;52,7833333333333;6;20;;6,33333333333333;
100;Assen;Drenthe;Noord-Nederland          ;Assen                              ;;;68798;52° 59′ NB, 6° 33′ OL;52;59;;52,9833333333333;6;33;;6,55;
130;Balinge;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;90;52° 49′ NB, 6° 38′ OL;;;;0;;;;0;
133;Balloërveld;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;22;53° 1′ NB, 6° 38′ OL;;;;0;;;;0;
134;Balloo;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;160;52° 60′ NB, 6° 38′ OL;;;;0;;;;0;
142;Barger-Compascuum;Drenthe;Noord-Nederland          ;Emmen                              ;;;1.745;52° 45′ NB, 7° 3′ OL;;;;0;;;;0;
167;Beilen;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;11235;52° 51′ NB, 6° 31′ OL;;;;0;;;;0;
178;Benneveld;Drenthe;Noord-Nederland          ;Coevorden                          ;;;175;52° 47′ NB, 6° 45′ OL;;;;0;;;;0;
256;Borger;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;4765;52° 55′ NB, 6° 48′ OL;;;;0;;;;0;
266;Boschoord;Drenthe;Noord-Nederland          ;Westerveld                         ;;;225;52° 54′ NB, 6° 14′ OL;;;;0;;;;0;
273;Bovensmilde;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;3425;52° 59′ NB, 6° 29′ OL;;;;0;;;;0;
296;Broekhuizen;Drenthe;Noord-Nederland          ;Meppel                             ;;;120;52° 42′ NB, 6° 17′ OL;;;;0;;;;0;
301;Bronneger;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;115;52° 57′ NB, 6° 49′ OL;;;;0;;;;0;
302;Bronnegerveen;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;80;52° 57′ NB, 6° 50′ OL;;;;0;;;;0;
311;Bruntinge;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;Not;;;;;0;;;;0;
317;Buinen;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;800;52° 56′ NB, 6° 50′ OL;;;;0;;;;0;
318;Buinerveen;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;430;52° 56′ NB, 6° 53′ OL;;;;0;;;;0;
