,Woonplaatsen,Gemeente,Provincie,Landsdeel
0,Berkhout,Koggenland,Noord-Holland,West-Nederland
1,Berlicum,Sint-Michielsgestel,Noord-Brabant,Zuid-Nederland
2,Berltsum,Waadhoeke,Friesland,Noord-Nederland
3,Bern,Zaltbommel,Gelderland,Oost-Nederland
4,Best,Best,Noord-Brabant,Zuid-Nederland
5,Beugen,Boxmeer,Noord-Brabant,Zuid-Nederland
6,Beuningen,Losser,Overijssel,Oost-Nederland
7,Beuningen Gld,Beuningen,Gelderland,Oost-Nederland
8,Beusichem,Buren,Gelderland,Oost-Nederland
9,Beutenaken,Gulpen-Wittem,Limburg,Zuid-Nederland
10,Beverwijk,Beverwijk,Noord-Holland,West-Nederland
11,Biddinghuizen,Dronten,Flevoland,Oost-Nederland
12,Bierum,Delfzijl,Groningen,Noord-Nederland
13,Biervliet,Sluis,Zeeland,West-Nederland
14,Biervliet,Terneuzen,Zeeland,West-Nederland
15,Biest-Houtakker,Hilvarenbeek,Noord-Brabant,Zuid-Nederland
16,Biezenmortel,Haaren,Noord-Brabant,Zuid-Nederland
17,Biggekerke,Veere,Zeeland,West-Nederland
18,De Bilt,DeBilt,Utrecht,West-Nederland
19,Bilthoven,DeBilt,Utrecht,West-Nederland
20,Bingelrade,Beekdaelen,Limburg,Zuid-Nederland
21,Bitgum,Waadhoeke,Friesland,Noord-Nederland
22,Bitgummole,Waadhoeke,Friesland,Noord-Nederland
23,Bladel,Bladel,Noord-Brabant,Zuid-Nederland
24,Blankenham,Steenwijkerland,Overijssel,Oost-Nederland
25,Blaricum,Blaricum,Noord-Holland,West-Nederland
26,Blauwestad,Oldambt,Groningen,Noord-Nederland
27,Blauwhuis,Súdwest-Fryslân,Friesland,Noord-Nederland
28,Bleiswijk,Lansingerland,Zuid-Holland,West-Nederland
29,Blesdijke,Weststellingwerf,Friesland,Noord-Nederland
30,Bleskensgraaf ca,Molenlanden,Zuid-Holland,West-Nederland
31,De Blesse,Weststellingwerf,Friesland,Noord-Nederland
32,Blessum,Waadhoeke,Friesland,Noord-Nederland
33,Blije,Noardeast-Fryslân,Friesland,Noord-Nederland
34,Blijham,Westerwolde,Groningen,Noord-Nederland
35,Blitterswijck,Venray,Limburg,Zuid-Nederland
36,Bloemendaal,Bloemendaal,Noord-Holland,West-Nederland
37,Blokker,Hoorn,Noord-Holland,West-Nederland
38,Blokzijl,Steenwijkerland,Overijssel,Oost-Nederland
39,Boazum,Súdwest-Fryslân,Friesland,Noord-Nederland
40,Bocholtz,Simpelveld,Limburg,Zuid-Nederland
41,Bodegraven,Bodegraven-Reeuwijk,Zuid-Holland,West-Nederland
42,Boekel,Boekel,Noord-Brabant,Zuid-Nederland
43,Boelenslaan,Achtkarspelen,Friesland,Noord-Nederland
44,Boer,Waadhoeke,Friesland,Noord-Nederland
45,Ten Boer,Groningen,Groningen,Noord-Nederland
46,Boerakker,Westerkwartier,Groningen,Noord-Nederland
